owner_info,BHK_info,price_info,locality_info,con_sta,pri_in,Area_inf
BUILDER,3 , 1.6 Cr,Manikonda,Under Construction,"5,699 / sq ft",2810 
BUILDER,2 , 1.43 Cr,Shaikpet,Ready to move,"9,565 / sq ft",1495 
BUILDER,2 , 56.98 L,Bachupally,Under Construction,"4,400 / sq ft",1295 
BUILDER,2 , 43.6 L,Shamshabad,Under Construction,"4,899 / sq ft",890 
BUILDER,3 , 65.82 L,Tellapur,Under Construction,"4,600 / sq ft",1431 
BUILDER,3 , 1.65 Cr,Attapur,Under Construction,"6,501 / sq ft",2540 
BUILDER,4 , 6.22 Cr,Serilingampally,Under Construction,"15,000 / sq ft",4147 
BUILDER,3 , 1.41 Cr,Yapral,Under Construction,"5,400 / sq ft",2615 
BUILDER,Residential Plot, 1.11 Cr,Sheriguda,New,"3,555 / sq ft",3150 
BUILDER,3 , 95.35 L,Manikonda,Under Construction,"6,200 / sq ft",1538 
BUILDER,4 , 1.45 Cr,Bachupally,Under Construction,"6,304 / sq ft",2300 
BUILDER,2 , 56.02 L,Ghatkesar,Under Construction,"4,500 / sq ft",1245 
BUILDER,2 , 72.05 L,Attapur,Under Construction,"5,500 / sq ft",1310 
BUILDER,2 , 61.57 L,Kompally,Under Construction,"4,700 / sq ft",1310 
BUILDER,3 , 1.46 Cr,Shankarpalli,Under Construction,"4,700 / sq ft",3120 
BUILDER,3 , 96.22 L,Nanakramguda,Ready to move,"6,800 / sq ft",1415 
BUILDER,3 , 54.04 L,Mallampet,Under Construction,"4,199 / sq ft",1287 
BUILDER,4 , 2.9 Cr,Hitech City,Ready to move,"8,290 / sq ft",3498 
BUILDER,3 , 97.11 L,Manikonda,Under Construction,"5,699 / sq ft",1704 
BUILDER,4 , 3.04 Cr,Shaikpet,Ready to move,"10,252 / sq ft",2965 
BUILDER,2 , 52.58 L,Bachupally,Under Construction,"4,400 / sq ft",1195 
BUILDER,2 , 44.33 L,Shamshabad,Under Construction,"4,899 / sq ft",905 
BUILDER,3 , 66.01 L,Tellapur,Under Construction,"4,600 / sq ft",1435 
BUILDER,3 , 1.65 Cr,Attapur,Under Construction,"6,501 / sq ft",2540 
BUILDER,4 , 4.89 Cr,Serilingampally,Under Construction,"15,000 / sq ft",3262 
BUILDER,3 , 1.59 Cr,Yapral,Under Construction,"5,400 / sq ft",2950 
